OBJECTID,Zip Code,Rank,Neighborhood,% Change in IRS Ratio,% Change in Median Household Size,Change in % White Non Hispanic,Change in % >=25 with Bachelor's Degrees,% Change in Rent (Inflation Adjusted),Index Score,Index Percentile,Index Quartile,High to Low AGI Ratio (2000),High to Low AGI Ratio (2014),Median Household Income (2014),Median Household Size (2000),Median Household Size (2013),% White Non-Hispanic (2000),% White Non-Hispanic (2014),% >=25 w Bachelor's Degree (2000),% >=25 w Bachelor's Degree (2014),Median Gross Rent (2000 - Inflation Adjusted),Median Gross Rent 2014,% Change in Median Gross Rent,Median Household Income (2000 - Inflation Adjusted),% Change in Median Houshold Income (Inflation Adjusted),Population (2000),Population (2014),Population Change (2000-2014),Evaluated,Zip,Retail Bldgs 2000,New Retail Bldgs 2000-14,Total Retail Bldgs 2014,Ret Inv 2000 (SF),Ret Inv 2014 (SF),% Change in Retail Bldgs 2000-14,% Change in Retail SF 2000-14,% Chg in Avg Retail Bldg SF 2000-14,Change in Total Acres 2000-14,Input_#3_Zip,New MF Projects 2000-14,MF Projects Sold at Least Once between 2000-14, % of New MF Projects Sold at Least Once 2000-14,New MF SF 2000-14,New MF Acres 2000-14,New MF Units 2000-14,New Studios 2000-14,New 1 BR 2000-14,New 2 BR 2000-14,New 3 BR 2000-14,New 4 BR 2000-14,% Studio,% 1BR,% 2BR,% 3BR,% 4BR,Input_#4_Zip,Bldgs Sold Demo 00-14,MF SF Sold Demo 00-14,MF Total Acres Sold Demo 00-14,MF Sold Demo Average Age,Input_#5_Zip,RET Prop Sold Demoed 01-14,RET SF Sold Demoed 01-14,RET Avg Age Sold Demoed 01-14,RET Acres Sold Demoed 01-14,Input_#6_Zip,2014_Median_HomePrice
1,90001,37,Florence,-47.007,-2.759,-0.086,1.561,24.858,0.389560915,0.669,3,24.339,12.898,34050,4.35,4.23,0.78,0.69,2.41,3.97,781,975,0.248399488,33279.05739,2.316599899,54481,56314,3.4,Yes,90001,259,19,278,1347052,1497516,7.34E-02,0.111698732,3.57E-02,0.137598487,90001,3,2,0.666666667,57780,1.2649,46,0,5,14,27,0,0,0.108695652,0.304347826,0.586956522,0,90001,11,65653,3.8364,94.18181818,90001,2,3143,36,1.0386,90001,248958.3333
2,90002,57,Watts/Green Meadows,-44.965,1.683,0.346,1.309,25.733,0.359524514,0.486,2,27.413,15.087,30214,4.16,4.23,0.47,0.81,3,4.31,770,968,0.257142857,31443.73944,-3.910919827,44584,50098,12.4,Yes,90002,67,5,72,338627,353235,7.46E-02,4.31E-02,-2.93E-02,2.77E-02,90002,4,3,0.75,205360,2.4951,174,0,39,82,52,1,0,0.224137931,0.471264368,0.298850575,5.75E-03,,,,,,90002,6,39111,72.66666667,1.4631,90002,237333.3333
3,90003,33,Florence/Broadway-Manchester,-41.524,3,-0.182,2.798,35.303,0.402007903,0.706,3,31.808,18.6,30016,4,4.12,0.68,0.49,3.3,6.09,786,1064,0.353689567,30720.61042,-2.293608136,58187,66913,15,Yes,90003,426,14,440,1635439,1728064,3.29E-02,5.66E-02,2.30E-02,5.48E-02,90003,16,1,0.0625,367908,4.1484,235,14,11,42,54,93,6.54E-02,5.14E-02,0.196261682,0.252336449,0.434579439,90003,2,31200,0.388,63,90003,5,45526,72.6,2.3245,90003,271954.5833
4,90004,15,East Hollywood/Larchmont/Windsor Square,-32.379,-6.873,3.06,11.296,29.716,0.483,0.871,4,2.338,1.581,38493,2.91,2.71,14.3,17.36,22.3,33.59,825,1070,0.296969697,37931.27907,1.480891085,67850,63547,-6.3,Yes,90004,221,5,226,1478335,1631773,2.26E-02,0.103791089,7.94E-02,2.76E-02,90004,22,5,0.227272727,563662,5.2223,461,0,112,125,16,0,0,0.442687747,0.494071146,6.32E-02,0,90004,13,440269,6.8533,66.30769231,90004,3,20474,90.66666667,1.0935,90004,853666.25
5,90005,20,Koreatown/Mid-Wilshire,-41.123,-8.214,0.934,7.12,24.864,0.46,0.825,4,4.074,2.399,31214,2.8,2.57,7.56,8.49,19.03,26.15,752,939,0.248670213,30242.19046,3.213423119,43014,38638,-10.2,Yes,90005,107,5,112,924611,1063075,4.67E-02,0.149753788,9.84E-02,5.68E-02,90005,24,4,0.166666667,2152331,10.1619,1545,202,520,278,56,40,0.184306569,0.474452555,0.253649635,5.11E-02,3.65E-02,90005,32,223137,7.0523,82.96875,90005,4,114268,66.25,2.6023,90005,550625
6,90006,18,Pico Union/Harvard Heights,-59.321,-5.74,0.556,5.77,29.007,0.466,0.844,4,19.18,7.802,31403,3.31,3.12,2.83,3.38,9.03,14.8,729,940,0.289437586,28310.63861,10.92296586,62765,61419,-2.1,Yes,90006,287,14,301,2880631,3162516,4.88E-02,9.79E-02,4.68E-02,4.93E-02,90006,22,4,0.181818182,1084592,16.2827,893,4,263,267,116,0,6.15E-03,0.404615385,0.410769231,0.178461538,0,90006,29,212444,8.7029,75.15384615,90006,9,44402,88.77777778,3.2395,90006,485083.3333
7,90007,32,University Park/Adams-Normandie/Exposition Park,-53.86,5.863,1.152,5.755,39.818,0.402986298,0.715,3,12.396,5.719,22646,3.07,3.25,16.1,17.25,15.76,21.51,742,1038,0.398921833,24256.44188,-6.639233767,45021,43779,-2.8,Yes,90007,158,6,164,1321633,1347444,3.80E-02,1.95E-02,-1.78E-02,1.93E-02,90007,21,5,0.238095238,2247239,23.7734,1937,153,424,875,387,55,8.08E-02,0.223864836,0.461985216,0.204329461,2.90E-02,90007,3,23426,0.3573,99.5,90007,5,19556,57.2,2.335,90007,512062.5
8,90008,102,Baldwin Hills/Crenshaw/Leimert Park,-11.265,3.947,0.023,2.135,20.49,0.251250463,0.073,1,1.7,1.508,36180,2.28,2.37,2.01,2.03,24.92,27.05,857,1032,0.2042007,41891.99144,-13.63504394,30840,33012,7,Yes,90008,120,8,128,1707501,1762598,6.67E-02,3.23E-02,-3.22E-02,5.28E-02,90008,2,0,0,130351,4.06,70,5,35,30,0,0,7.14E-02,0.5,0.428571429,0,0,90008,9,242953,6.2692,62,90008,5,57072,55,1.5471,90008,490416.6667
9,90010,22,Koreatown,14.734,-12.376,-24.633,9.41,101.817,0.437,0.807,4,0.392,0.449,47308,2.02,1.77,40.19,15.56,38.49,47.9,811,1637,1.018495684,44106.74591,7.257969329,1943,3792,95.2,Yes,90010,21,4,25,268039,431190,0.19047619,0.608683811,0.351294401,0.360176827,90010,4,1,0.25,1066573,6.6112,1049,153,606,281,0,0,0.147115385,0.582692308,0.270192308,0,0,,,,,,,,,,,90010,717145.8333
10,90011,41,Historic South Central/Central Alameda/South Park,-59.591,-1.72,-0.426,0.455,30.377,0.38698668,0.633,3,37.713,15.239,29889,4.65,4.57,0.89,0.46,2.78,3.24,762,993,0.303149606,32789.63927,-8.846206712,101214,102926,1.7,Yes,90011,329,12,341,1389195,1522183,3.65E-02,9.57E-02,5.72E-02,0.122994723,90011,13,2,0.153846154,470121,6.2992,474,49,170,93,53,9,0.131016043,0.454545455,0.248663102,0.14171123,2.41E-02,90011,3,30863,1.7152,98.33333333,90011,4,37389,101.5,3.706,90011,282953.6667
