OBJECTID,Zip Code,Index Score,Index Quartile,Retail Bldgs 2000,New Retail Bldgs 2000-14,Total Retail Bldgs 2014,Ret Inv 2000 (SF),Ret Inv 2014 (SF),% Change in Retail Bldgs 2000-14,% Change in Retail SF 2000-14,% Chg in Avg Retail Bldg SF 2000-14,Change in Total Acres 2000-14,New MF Projects 2000-14,MF Projects Sold at Least Once between 2000-14, % of New MF Projects Sold at Least Once 2000-14,New MF SF 2000-14,New MF Acres 2000-14,New MF Units 2000-14,New Studios 2000-14,New 1 BR 2000-14,New 2 BR 2000-14,New 3 BR 2000-14,New 4 BR 2000-14,% Studio,% 1BR,% 2BR,% 3BR,% 4BR
56,90068,0.35704049,2,,,,,,,,,,6,3,0.5,341624,4.8619,360,13,244,93,9,1,0.0361,0.6778,0.2583,0.0250,0.0028
58,90077,0.140502073,1,,,,,,,,,,,,,,,,,,,,,,,,,
59,90094,0.2643746,1,,,,,,,,,,3,1,0.333333333,1428535,18.5843,1324,1,466,770,87,0,0.0008,0.3520,0.5816,0.0657,0.0000
64,90272,0.282932316,1,,,,,,,,,,2,0,0,43528,0.6173,7,0,0,7,0,0,0.0000,0.0000,1.0000,0.0000,0.0000
68,90293,0.253025,1,,,,,,,,,,5,2,0.4,518328,8.5382,606,111,227,265,3,0,0.1832,0.3746,0.4373,0.0050,0.0000
36,90039,0.528,4,154,8,162,941634,1006502,0.05195,0.068888761,0.01610,0.10084,,,,,,,,,,,,,,,,
61,90230,0.380003573,3,184,7,191,3039622,3104533,0.03804,0.021354958,-0.01610,0.02560,,,,,,,,,,,,,,,,
71,90502,0.326947165,2,45,1,46,526026,552005,0.02222,0.049387293,0.02660,0.00107,,,,,,,,,,,,,,,,
46,90056,0.247346037,1,17,1,18,209082,246082,0.05882,0.176964062,0.11158,0.04410,,,,,,,,,,,,,,,,
63,90248,0.306987784,1,81,11,92,930648,1074647,0.13580,0.154729823,0.01670,0.16167,,,,,,,,,,,,,,,,
69,90402,0.311337191,1,21,1,22,102798,110190,0.04762,0.071908014,0.02320,0.04610,,,,,,,,,,,,,,,,
92,91345,0.272582157,1,61,4,65,507128,570473,0.06557,0.124909293,0.05570,0.09210,,,,,,,,,,,,,,,,
4,90004,0.483,4,221,5,226,1478335,1631773,0.02262,0.103791089,0.07940,0.02760,22,5,0.227272727,563662,5.2223,461,0,112,125,16,0,0.0000,0.4427,0.4941,0.0632,0.0000
5,90005,0.46,4,107,5,112,924611,1063075,0.04673,0.149753788,0.09840,0.05680,24,4,0.166666667,2152331,10.1619,1545,202,520,278,56,40,0.1843,0.4745,0.2536,0.0511,0.0365
6,90006,0.466,4,287,14,301,2880631,3162516,0.04878,0.097855296,0.04680,0.04930,22,4,0.181818182,1084592,16.2827,893,4,263,267,116,0,0.0062,0.4046,0.4108,0.1785,0.0000
9,90010,0.437,4,21,4,25,268039,431190,0.19048,0.608683811,0.35129,0.36018,4,1,0.25,1066573,6.6112,1049,153,606,281,0,0,0.1471,0.5827,0.2702,0.0000,0.0000
11,90012,0.548,4,177,3,180,2232081,2286655,0.01695,0.02444983,0.00738,0.03960,23,7,0.304347826,4149979,33.3963,3786,505,1326,1255,122,37,0.1556,0.4086,0.3867,0.0376,0.0114
12,90013,0.68,4,133,8,141,2318020,2425753,0.06015,0.046476303,-0.01290,0.09780,9,1,0.111111111,2163776,32.0928,1712,410,507,315,0,0,0.3328,0.4115,0.2557,0.0000,0.0000
13,90014,0.814,4,94,5,99,2418321,2561040,0.05319,0.059015739,0.00553,0.07380,9,2,0.222222222,1515164,7.1583,1307,490,333,285,52,0,0.4224,0.2871,0.2457,0.0448,0.0000
14,90015,0.649,4,374,24,398,4991745,6615948,0.06417,0.325377799,0.24546,0.30178,15,7,0.466666667,3250019,14.3353,2356,430,980,500,72,8,0.2161,0.4925,0.2513,0.0362,0.0040
16,90017,0.661,4,61,7,68,1651758,1854726,0.11475,0.122879986,0.00729,1.35944,22,3,0.136363636,3163772,24.6372,3426,592,1416,1039,228,133,0.1737,0.4155,0.3049,0.0669,0.0390
18,90019,0.441,4,308,12,320,1789522,2154839,0.03896,0.204142223,0.15899,0.13499,5,0,0,135967,1.4812,97,0,19,19,33,0,0.0000,0.2676,0.2676,0.4648,0.0000
19,90020,0.472,4,114,4,118,1266864,1575602,0.03509,0.24370256,0.20154,0.12321,12,3,0.25,683938,4.1523,449,4,105,80,42,0,0.0173,0.4545,0.3463,0.1818,0.0000
21,90023,0.428,4,193,6,199,1041068,1074738,0.03109,0.032341787,0.00122,0.04400,7,0,0,424625,8.148,376,0,145,101,84,0,0.0000,0.4394,0.3061,0.2545,0.0000
24,90026,0.587,4,312,6,318,1651237,1663996,0.01923,0.007726934,-0.01130,0.01670,20,1,0.05,965741,10.8888,893,121,256,236,89,112,0.1486,0.3145,0.2899,0.1093,0.1376
25,90027,0.52,4,264,7,271,1911901,2069245,0.02652,0.082297148,0.05430,0.04580,12,1,8.33E-02,371446,3.0604,345,0,162,92,56,3,0.0000,0.5176,0.2939,0.1789,0.0096
26,90028,0.57,4,263,8,271,3205367,3915298,0.03042,0.221481971,0.18542,0.15498,26,7,0.269230769,3063339,20.1102,2563,335,1276,773,65,0,0.1368,0.5210,0.3156,0.0265,0.0000
